Response ID,Response Status,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Weight,Rezultats,userid,"Sveicināti!Šī aptauja tiek veikta maģistra darba ietvaros, un tās mērķis ir izpētīt mentālās rotācijas spējas.Aptaujas aizpildīšana aizņems aptuveni 10–15 minūtes.Visa sniegtā informācija tiks izmantota tikai šī pētījuma ietvaros. Dati tiks apstrādāti anonīmi un netiks nodoti trešajām pusēm.Turpinot aptauju, Jūs apliecināt, ka piekrītat dalībai pētījumā.",Dalībnieka identifikators (aizpildās automātiski),Dzimums,Norādiet savu vecuma grupu:,Norādiet savu augstāko iegūto izglītību:,Norādiet savu studiju vai darba jomu:,"Kā Jūs novērtētu savas TELPISKĀS DOMĀŠANAS spējas?Ar telpisko domāšanu tiek saprasta spēja prātā manipulēt ar 2D un 3D objektiem, iztēloties to izskatu no cita skatu punkta un orientēties telpā.",Cik bieži Jūs spēlējat 3D videospēles?,"Vai Jums ir darba vai studiju pieredze ar 3D modelēšanu (CAD, Blender, 3ds Max u.tml.)?","Jums tiks parādīti divi objekti, ko veido kubi.Objekti var būt vienādi vai spoguļattēlā.Lai izlemtu, vai objekti, ko veido kubi, ir vienādi, vai spoguļattēli, varat domās pagriezt vienu no šiem objektiem. Piemēram, ja varat pagriezt labo objektu tādā stāvoklī, lai tas būtu vienāds ar  objektu kreisajā pusē, objekti ir vienādi. Ja nevar, tad objekti ir atšķirīgi. Izmēģiniet ar doto attēlu! Vai šie objekti, ko veido kubi, ir vienādi, vai atšķirīgi?","Atbilde: objekti, ko veido kubi, ir viens otra spoguļattēli.Ne ar vienu rotāciju nevar panākt, lai objekti būtu vienādi. Jūsu uzdevums.Ja objekti ir vienādi, nospiediet pogu [→].Ja objekti ir atšķirīgi, nospiediet pogu [←].Pirmie 2 attēli ir izmēģinājums, lai Jūs varētu iepazīties ar uzdevumu.Pēc tam testa posmā tiks rādīti 48 attēli.  ",Atbilde: Objekti ir vienādi,Atbilde: Objekti ir atšķirīgi,"Izmēģinājuma uzdevumi ir pabeigti.Tagad sāksies tests.Atbildiet pēc iespējas ātrāk, mēģinot nepieļaut pārāk daudz kļūdu. ",Cik grūti Jums šķita mentālās rotācijas uzdevumi kopumā?,Vai Jūtaties noguris pēc uzdevuma?,"Kādu stratēģiju Jūs visbiežāk izmantojāt, lai salīdzinātu figūras?"
217512376,Completed,05/05/2026 13:58,0,337,1,,44,44.0,id-6,,id-6,2,3,3,1,3,4,2,,,,,,3.0,1.0,1.0
217513078,Completed,05/05/2026 14:02,0,271,1,,44,44.0,id-15,,id-15,1,2,1,1,3,2,2,,,,,,3.0,2.0,2.0
217513297,Completed,05/05/2026 14:03,0,795,1,,40,40.0,id-41,,id-41,2,5,2,1,4,1,1,,,,,,3.0,2.0,2.0
217513463,Completed,05/05/2026 14:04,0,333,1,,43,43.0,id-45,,id-45,1,2,2,1,4,3,2,,,,,,1.0,2.0,1.0
217513647,Completed,05/05/2026 14:04,0,619,1,,48,48.0,id-10,,id-10,2,5,3,2,5,1,1,,,,,,2.0,2.0,1.0
217514918,Started,05/05/2026 14:10,0,62,1,,0,,id-34,,id-34,2,2,2,1,3,3,1,,,,,,,,
217517024,Completed,05/05/2026 14:21,0,671,1,,44,44.0,id-13,,id-13,2,2,2,1,5,2,1,,,,,,3.0,1.0,4.0
217517222,Completed,05/05/2026 14:22,0,368,1,,42,42.0,id-32,,id-32,1,3,2,1,4,4,1,,,,,,3.0,2.0,1.0
217518903,Started,05/05/2026 14:30,0,131,1,,2,2.0,id-43,,id-43,2,4,3,1,4,1,1,,,,,,,,
217523972,Completed,05/05/2026 14:54,0,653,1,,42,42.0,id-22,,id-22,2,2,2,3,3,2,1,,,,,,4.0,3.0,1.0
217526334,Completed,05/05/2026 15:05,0,501,1,,43,43.0,id-37,,id-37,1,2,2,1,3,3,2,,,,,,3.0,3.0,1.0
217526778,Completed,05/05/2026 15:07,0,497,1,,44,44.0,id-4,,id-4,1,2,2,1,4,2,2,,,,,,2.0,1.0,1.0
217537598,Completed,05/05/2026 15:58,0,487,1,,43,43.0,id-11,,id-11,1,3,2,1,4,3,1,,,,,,2.0,1.0,1.0
217542197,Completed,05/05/2026 16:17,0,506,1,,44,44.0,id-46,,id-46,1,2,1,1,5,4,3,,,,,,1.0,2.0,1.0
217544195,Completed,05/05/2026 16:25,0,3539,1,,46,46.0,id-12,,id-12,2,3,3,1,3,3,2,,,,,,2.0,2.0,1.0
217584345,Started,05/05/2026 19:20,0,429,1,,31,31.0,id-29,,id-29,1,3,2,1,2,1,2,,,,,,,,
217739457,Completed,05/06/2026 09:16,0,453,1,,46,46.0,id-28,,id-28,1,3,2,1,4,3,2,,,,,,2.0,2.0,2.0
217766319,Completed,05/06/2026 13:57,0,250,1,,47,47.0,id-35,,id-35,1,2,2,1,3,4,2,,,,,,2.0,2.0,2.0
217820985,Completed,05/06/2026 19:23,0,587,1,,45,45.0,id-47,,id-47,2,2,2,1,3,2,2,,,,,,3.0,2.0,2.0
217931688,Completed,05/07/2026 11:12,0,342,1,,48,48.0,id-40,,id-40,1,2,2,1,4,4,2,,,,,,2.0,1.0,1.0
217932927,Completed,05/07/2026 11:36,0,165,1,,48,48.0,id-42,,id-42,1,2,2,1,4,3,1,,,,,,2.0,1.0,1.0
217950701,Completed,05/07/2026 15:14,0,325,1,,48,48.0,id-2,,id-2,1,2,2,1,3,2,1,,,,,,3.0,1.0,1.0
217959660,Completed,05/07/2026 16:16,0,398,1,,40,40.0,id-38,,id-38,1,2,2,1,4,4,1,,,,,,3.0,2.0,1.0
218051225,Completed,05/07/2026 22:54,0,500,1,,47,47.0,id-18,,id-18,1,2,1,1,3,3,3,,,,,,3.0,1.0,1.0
218135202,Completed,05/08/2026 15:56,0,441,1,,46,46.0,id-30,,id-30,2,4,3,1,4,1,1,,,,,,2.0,1.0,1.0
218268359,Completed,05/09/2026 23:13,0,1257,1,,39,39.0,id-14,,id-14,2,1,1,4,2,1,1,,,,,,4.0,2.0,2.0
218291546,Completed,05/10/2026 12:22,0,240,1,,48,48.0,id-26,,id-26,2,3,3,1,3,2,1,,,,,,1.0,1.0,2.0
218292065,Completed,05/10/2026 12:53,0,228,1,,48,48.0,id-25,,id-25,1,2,1,5,4,4,1,,,,,,2.0,2.0,1.0
218304692,Completed,05/10/2026 20:10,0,373,1,,46,46.0,id-27,,id-27,2,3,2,2,4,2,1,,,,,,2.0,1.0,1.0
218305025,Completed,05/10/2026 20:18,0,186,1,,45,45.0,id-39,,id-39,1,2,1,3,4,3,2,,,,,,3.0,2.0,3.0
218307587,Completed,05/10/2026 21:23,0,322,1,,41,41.0,id-31,,id-31,1,4,2,3,2,1,1,,,,,,4.0,3.0,4.0
218307863,Completed,05/10/2026 21:31,0,251,1,,45,45.0,id-24,,id-24,1,2,2,3,3,2,1,,,,,,3.0,3.0,2.0
218308161,Completed,05/10/2026 21:39,0,330,1,,47,47.0,id-1,,id-1,1,1,1,1,5,4,2,,,,,,2.0,1.0,2.0
218308725,Completed,05/10/2026 21:56,0,362,1,,47,47.0,id-17,,id-17,2,3,3,3,4,1,1,,,,,,2.0,1.0,5.0
218309278,Completed,05/10/2026 22:09,0,369,1,,48,48.0,id-9,,id-9,1,2,2,1,3,3,1,,,,,,2.0,1.0,1.0
218314085,Completed,05/11/2026 00:30,0,311,1,,42,42.0,id-7,,id-7,2,2,2,3,2,1,1,,,,,,3.0,3.0,2.0
218393689,Completed,05/11/2026 19:59,0,253,1,,45,45.0,,,,3,2,2,2,3,3,1,,,,,,3.0,2.0,5.0
218394924,Completed,05/11/2026 20:06,0,310,1,,47,47.0,id-36,,id-36,2,4,3,1,5,1,1,,,,,,1.0,1.0,1.0
