userId,slope_ms_per_deg,intercept_ms,R2,p,n_trials
3J5BnAE93GRlNDjQSkRUdMMblg82,7.182,2778.0,0.1201,0.13444,20
4awMGsBqrHenvOnCK3mohfLpiNl2,3.355,7157.0,0.0014,0.87859,19
7UpNlLoutGQaLY0MU23LjC5F1Xi1,22.502,3364.1,0.1232,0.1292,20
8QTVHWZh3JeghlBhLztx6avuGJ93,12.838,2633.8,0.0557,0.31633,20
8RyDqZwPuObJKg1qO3iJZ4Hr4qT2,5.37,3858.3,0.0283,0.47852,20
BFR28mG4lWfjE52UGthrvKHsRoo1,-1.741,2231.7,0.0114,0.65395,20
CXIFRtblMPNmoP3o9jo8tHEygIx1,29.209,2147.3,0.1182,0.1377,20
Dub2cs84iOYUu395P5jyU8Tpicr2,29.582,5583.5,0.3141,0.01017,20
EK3pdxRwkshtJWEFCwiNfup2g5c2,10.663,7158.8,0.0167,0.58721,20
GpgoGBgggoN3AK9AyOmiyehC8bp1,4.895,6691.9,0.0044,0.78751,19
GvduKr5KNSeIxXLjLlXtslb5lNf1,18.745,6988.9,0.059,0.30231,20
H0As4s1hZTgRJfk9fT3GxfETxP83,-53.964,14972.9,0.16,0.08056,20
I0fV0q4rZ6ROnQotrb7yCVp01X53,-1.309,5109.1,0.0003,0.94771,19
IG89qJNZrcVUAkOtde89ONC04Zo1,34.236,9137.7,0.098,0.19188,19
J9XwVAmHLWa6PVzAp3LwEp0wltW2,18.571,1582.1,0.4168,0.00211,20
L8g26EqhbeOU25N8psL9iNKE2RF3,4.945,2180.5,0.0962,0.18322,20
Lh94oHUMeaRqzZHwv8eZbybqxEn1,-5.433,1044.0,0.1498,0.1715,14
NGYK1C3wnTO2Z32bi2XZE8feHTG3,-10.908,10081.5,0.0155,0.60115,20
NU3BZgrhDxg1WiSeYXpgh4PHqA32,78.389,4463.0,0.2624,0.02094,20
QWK5qEpqESYtOmkQVyjETX4CpFP2,3.136,3238.9,0.0094,0.68389,20
QnlAydRyfAWuwF6fKyYk6MVYCrK2,11.566,3110.9,0.1059,0.16157,20
R3FJcJaQp5Oa5LJ9prkvSrGIlFp2,39.845,259.4,0.3157,0.00993,20
RGamCfThHXUVWxgzUnxghM2YBga2,17.539,2229.9,0.1404,0.10355,20
Uf7lEjIxqPVPBch62gH24xZpnzi2,9.885,2680.7,0.083,0.21791,20
V3oHXNaQhHaVl8Uw6GeaOHcb14t2,28.023,4255.1,0.1995,0.05525,19
YPmJd0m4wbRGFW0JaRxgX1Ij3PI3,5.449,7079.7,0.0039,0.79462,20
ZrPgTYfPEZed8XHodYuCc4ywnPi1,31.74,3253.8,0.1538,0.08728,20
ZwDhcuEhIkMSXRg37qPgsQmGrTL2,7.349,2621.8,0.0745,0.24437,20
beb5eg175FXjBGfzmKruDCiJxlv2,-1.865,8143.2,0.0005,0.92361,20
fr2uYJQaMdc0xos4kxB3Vu6JSdE3,24.476,3065.7,0.2206,0.03669,20
g1qXEbHfbBhB6X7vxgFFK9xRsMX2,34.086,1820.2,0.234,0.0307,20
hhOXhtlQfYS81HcEUn02uOBgGPo1,3.663,2074.9,0.0294,0.4696,20
ho9OdSYODEYCCATTUtcl57Cc5L42,1.66,9022.8,0.0002,0.95342,19
hyXrOyc00LdQlDGHLBjFrOlKncw1,17.553,7237.8,0.049,0.36231,19
iNvVQLU5SbdogAsi8GASlqACUgt2,14.278,2328.2,0.0291,0.47243,20
jXwm5gMU7bWs8n3btOU7tU99mE13,28.819,2036.6,0.0603,0.29665,20
lKFYyQ2tnAhQrt03gPpJxoAsMYX2,-6.373,11409.5,0.0028,0.83513,18
lrTgQzRLqDSnz4Cdnnz4LOhF8wY2,16.639,1394.9,0.2063,0.04427,20
pPzg0wSbC9cU8wl0mvqUPxSpLGl1,14.563,4675.3,0.0372,0.41528,20
seXjwtZcXBW9Na2stEx24n4vtd63,19.905,6797.7,0.062,0.28982,20
t83zYKXAlQTnHIkHGYTe6V5yn2s1,38.122,2860.4,0.3008,0.01228,20
tqa1WoTizJfveuymU8VkYw18kmu1,5.84,4661.7,0.0135,0.48727,38
w6HmTtmhimUVA2ZY2UdgADEsOCT2,7.706,4192.6,0.0198,0.55375,20
